Dataset,leaf_size,N_neighbors,p,Accuracy
Hear_tattack,50,25,7,0.616842105
Hear_tattack,40,25,7,0.616842105
Hear_tattack,30,25,7,0.616842105
Hear_tattack,40,15,3,0.616725146
Hear_tattack,50,15,3,0.616725146
Hear_tattack,30,15,3,0.616725146
Hear_tattack,30,25,3,0.607953216
Hear_tattack,50,25,3,0.607953216
Hear_tattack,40,25,3,0.607953216
Hear_tattack,40,7,5,0.603684211
Hear_tattack,50,7,5,0.603684211
Hear_tattack,30,7,5,0.603684211
Hear_tattack,50,7,7,0.603684211
Hear_tattack,40,7,7,0.603684211
Hear_tattack,30,7,7,0.603684211
Hear_tattack,40,25,5,0.603567251
Hear_tattack,30,15,7,0.603567251
Hear_tattack,50,15,7,0.603567251
Hear_tattack,30,25,5,0.603567251
Hear_tattack,40,15,7,0.603567251
Hear_tattack,50,25,5,0.603567251
Hear_tattack,50,15,5,0.594736842
Hear_tattack,40,15,5,0.594736842
Hear_tattack,30,15,5,0.594736842
Hear_tattack,40,7,3,0.586140351
Hear_tattack,50,7,3,0.586140351
Hear_tattack,30,7,3,0.586140351
Hear_tattack,50,15,3,0.655573593
Hear_tattack,30,15,3,0.655573593
Hear_tattack,40,15,3,0.655573593
Hear_tattack,50,25,7,0.651244589
Hear_tattack,40,25,7,0.651244589
Hear_tattack,30,25,7,0.651244589
Hear_tattack,40,25,5,0.64258658
Hear_tattack,50,25,5,0.64258658
Hear_tattack,30,25,5,0.64258658
Hear_tattack,50,15,5,0.642180736
Hear_tattack,40,15,5,0.642180736
Hear_tattack,30,15,5,0.642180736
Hear_tattack,40,15,7,0.633387446
Hear_tattack,30,15,7,0.633387446
Hear_tattack,50,15,7,0.633387446
Hear_tattack,40,7,3,0.625135281
Hear_tattack,50,7,3,0.625135281
Hear_tattack,30,7,3,0.625135281
Hear_tattack,30,25,3,0.624729437
Hear_tattack,40,25,3,0.624729437
Hear_tattack,50,25,3,0.624729437
Hear_tattack,50,7,5,0.61133658
Hear_tattack,30,7,5,0.61133658
Hear_tattack,40,7,5,0.61133658
Hear_tattack,40,7,7,0.607007576
Hear_tattack,50,7,7,0.607007576
Hear_tattack,30,7,7,0.607007576
Hear_tattack,40,25,5,0.651497585
Hear_tattack,50,25,5,0.651497585
Hear_tattack,30,25,5,0.651497585
Hear_tattack,50,25,7,0.647149758
Hear_tattack,40,25,7,0.647149758
Hear_tattack,30,25,7,0.647149758
Hear_tattack,50,15,5,0.642608696
Hear_tattack,40,15,5,0.642608696
Hear_tattack,30,15,5,0.642608696
Hear_tattack,30,15,7,0.638357488
Hear_tattack,50,15,7,0.638357488
Hear_tattack,40,15,7,0.638357488
Hear_tattack,50,25,3,0.633913043
Hear_tattack,40,25,3,0.633913043
Hear_tattack,30,25,3,0.633913043
Hear_tattack,50,15,3,0.633913043
Hear_tattack,40,15,3,0.633913043
Hear_tattack,30,15,3,0.633913043
Hear_tattack,30,7,3,0.62115942
Hear_tattack,40,7,3,0.62115942
Hear_tattack,50,7,3,0.62115942
Hear_tattack,50,7,5,0.616521739
Hear_tattack,30,7,5,0.616521739
Hear_tattack,40,7,5,0.616521739
Hear_tattack,50,7,7,0.612077295
Hear_tattack,40,7,7,0.612077295
Hear_tattack,30,7,7,0.612077295
Breast_Cancer,30,15,3,0.91314554
Breast_Cancer,50,15,3,0.91314554
Breast_Cancer,40,15,3,0.91314554
Breast_Cancer,50,25,7,0.910798122
Breast_Cancer,30,25,5,0.910798122
Breast_Cancer,30,25,7,0.910798122
Breast_Cancer,40,25,7,0.910798122
Breast_Cancer,40,25,5,0.910798122
Breast_Cancer,50,25,5,0.910798122
Breast_Cancer,50,25,3,0.908450704
Breast_Cancer,50,15,7,0.908450704
Breast_Cancer,30,15,7,0.908450704
Breast_Cancer,30,25,3,0.908450704
Breast_Cancer,40,15,7,0.908450704
Breast_Cancer,40,25,3,0.908450704
Breast_Cancer,50,15,5,0.906103286
Breast_Cancer,40,15,5,0.906103286
Breast_Cancer,30,15,5,0.906103286
Breast_Cancer,40,7,5,0.901408451
Breast_Cancer,50,7,3,0.901408451
Breast_Cancer,50,7,5,0.901408451
Breast_Cancer,50,7,7,0.901408451
Breast_Cancer,40,7,3,0.901408451
Breast_Cancer,30,7,7,0.901408451
Breast_Cancer,30,7,5,0.901408451
Breast_Cancer,40,7,7,0.901408451
Breast_Cancer,30,7,3,0.901408451
Breast_Cancer,50,25,3,0.915403557
Breast_Cancer,30,25,3,0.915403557
Breast_Cancer,30,25,5,0.915403557
